speaker	task	time_stamp	gram_cat	context_cat	context_start_lg	context_specific	like_duration_ms	closure_presence	closure_duration	burst_presence	burst_duration
BESF_18	D	280.9738669	D	ML	E	E	148.8204072	1	76.58284062	0	0
BESF_18	D	281.8741961	DQ	ML	E	E	135.5066338	1	111.4858452	1	19.35040563
BESF_18	D	282.6148735	D	ML	E	E	116.4460553	1	154.1778751	0	0
BESF_18	D	283.7142839	DQ	ML	E	E	170.6300841	1	165.7292272	1	56.17903007
BESF_18	D	306.2406521	D	CS	E	CS_SEE	91.36631837	1	79.16119298	0	0
BESF_18	D	308.0989358	D	ML	E	E	195.3462027	1	112.9344357	1	36.36309799
BESF_18	D	309.1682966	D	ML	E	E	136.6231122	1	124.2900275	0	0
BESF_18	D	310.0717466	D	ML	E	E	106.2266748	1	45.67074279	0	0
BESF_18	D	312.6624727	D	ML	E	E	187.8809637	0	0	0	0
BESF_18	D	318.1152649	D	ML	E	E	119.5123978	1	49.09457441	0	0
BESF_18	D	319.8857612	DQ	CS	E	CS_ES	111.0199741	1	49.39992347	1	43.6063734
BESF_18	D	329.1586263	D	ML	E	E	180.1228386	0	0	0	0
BESF_18	D	330.2617829	D	ML	E	E	151.7706964	1	41.20694751	1	8.1113114
BESF_18	D	336.1696417	D	ML	E	E	138.0569218	1	89.37436132	1	15.35606764
BESF_18	D	340.2157717	D	ML	E	E	180.6146165	1	163.5893968	1	7.490604575
BESF_18	D	340.7393676	DQ	CS	E	CS_ES	161.5633258	1	91.55327852	0	0
BESF_18	D	344.2832704	D	ML	E	E	135.7801658	1	119.9075663	1	25.42686099
BESF_18	D	345.4572274	D	ML	E	E	128.7290172	1	100.6338168	1	15.09068951
